Store#,Name,Address,City,State/Province,Country,Zip,Interstate,Latitude,Longitude,Phone,Fax,Parking Spaces,Diesel Lanes,Bulk DEF Lanes,Showers,CAT Scale,Facilities/Restaurants,WiFi
14,"Pilot Travel Center","7680 E 36  N State St","Sunbury","OH","US","43074","I-71  Exit 131","40.26545400","-82.92396000","(740) 965-5540","(740) 965-5641","115","7","7","5","Yes","Subway","No",
15,"Pilot Travel Center","5820 Hagman Road","Toledo ","OH","US","43612","I-75  Exit 210","41.72410500","-83.50768000","(419) 729-3985","(419) 729-0905","70","10","10","5","Yes","Subway","Yes",
16,"Pilot Travel Center","5772 N US Hwy 68","Wilmington","OH","US","45177","I-71  Exit 50","39.52287700","-83.84578700","(937) 382-0464","(937) 382-3069","20","6","6","3","Yes","Subway","No",
17,"Pilot Travel Center","15901 Eleven Mile Road","Battle Creek","MI","US","49014","I-94  Exit 104","42.30302300","-85.08239600","(269) 968-9949","(269) 968-9610","75","7","7","5","Yes","McDonald's, Roadside Assistance","No",
21,"Pilot Travel Center","750 Baker Road","Dexter ","MI","US","48130","I-94  Exit 167","42.30174900","-83.87693100","(734) 426-4618","(734) 426-7836","80","6","6","3","Yes","Subway","No",
23,"Pilot Travel Center","7205 South State Road","Ionia","MI","US","48846","I-96  Exit 67","42.88329100","-85.07378000","(616) 527-6520","(616) 527-5913","20","6","6","4","Yes","Subway","Yes",
24,"Pilot Travel Center","1100 North Dixie Highway","Monroe","MI","US","48162","I-75  Exit 15","41.92440000","-83.36597400","(734) 242-9650","(734) 242-6538","20","6","6","3","Yes","Subway","No",
26,"Pilot Travel Center","6158 US-223","Ottawa Lake","MI","US","49267","US 23  Exit 5","41.79904900","-83.69429400","(734) 854-1772","(734) 854-6912","170","11","11","8","Yes","McDonald's, Roadside Assistance","No",
28,"Pilot Travel Center","15151 Commerce Road","Daleville","IN","US","47334","I-69  Exit 234","40.11272200","-85.56589500","(765) 378-3599","(765) 378-3592","35","5","5","3","Yes","Subway","No",
29,"Pilot Travel Center","6900 Old U.S. 27","Fremont","IN","US","46737","I-80/69  Exit 357","41.74407500","-84.99926800","(260) 833-1987","(260) 833-6794","130","11","11","7","Yes","Wendy's, Roadside Assistance","No",
30,"Pilot Travel Center","2640 North 600 West","Greenfield","IN","US","46140","I-70  Exit 96","39.82131000","-85.91672300","(317) 894-1910","(317) 894-3499","150","8","8","5","Yes","Pizza Hut","No",
31,"Pilot Travel Center","8150 Indianapolis Boulevard","Highland","IN","US","46322","I-80/94  Exit 2","41.56750600","-87.47264800","(219) 923-6405","(219) 972-4134","10","6","6","2","Yes","Hot Stuff Pizza","Yes",
34,"Pilot Travel Center","4154 West US Highway 24","Remington","IN","US","47977","I-65  Exit 201","40.76660400","-87.12351100","(219) 261-3786","(219) 261-3986","75","8","8","7","Yes","Subway, Pilot Truck Care Center, Taco Bell","No",
35,"Pilot Travel Center","6424 West Brick Road","South Bend","IN","US","46628","I-80  Exit 72","41.73602100","-86.33683200","(574) 272-8212","(574) 272-9914","70","8","6","5","Yes","Subway","No",
36,"Pilot Travel Center","4105 E US Hwy 30","Valparaiso","IN","US","46383","US 30 & SR 49","41.44852700","-87.01037600","(219) 464-1644","(219) 464-9019","25","4","4","3","Yes","Subway","Yes",
37,"Pilot Travel Center","2962 East 500 North","Whiteland","IN","US","46184","I-65  Exit 95","39.55188800","-86.04592900","(317) 535-7656","(317) 535-3058","110","11","11","8","Yes","McDonald's, Wingfoot Truck Care","No",
39,"Pilot Travel Center","6002 Monee-Manhattan Road","Monee ","IL","US","60449","I-57  Exit 335","41.42790900","-87.75677600","(708) 534-2483","(708) 534-3980","71","5","5","5","Yes","McDonald's","No",
40,"Pilot Travel Center","2031 West Ryan Road","Oak Creek ","WI","US","53154","I-94  Exit 322","42.87149600","-87.94443000","(414) 761-0939","(414) 761-0165","150","11","11","9","Yes","Subway, Roadside Assistance","No",
41,"Pilot Travel Center","3060 Owingsville Road","Mount Sterling","KY","US","40353","I-64  Exit 113","38.08613000","-83.89823100","(859) 497-4041","(859) 497-8709","70","8","8","7","Yes","Subway, McDonald's","No",
43,"Pilot Travel Center","3500 North Plainview Road","Walcott","IA","US","52773","I-80  Exit 284","41.61959700","-90.78454500","(563) 284-4100","(563) 284-4103","170","11","11","8","Yes","Arby's, Breakfast/Soup Bar","No",
44,"Pilot Travel Center","1701 Ashley Road","Boonville ","MO","US","65233","I-70  Exit 101","38.93967600","-92.77437300","(660) 882-9120","(660) 882-9710","150","10","10","8","Yes","Wendy's, Wingfoot Truck Care","No",
46,"Pilot Travel Center","2929 Scottsville Road","Franklin ","KY","US","42134","I-65  Exit 6","36.71604600","-86.52584900","(270) 586-4149","(270) 586-5171","65","8","8","5","Yes","Subway","No",
47,"Pilot Travel Center","259 Cherry Blossom Way","Georgetown","KY","US","40324","I-75  Exit 129","38.27716100","-84.56051400","(502) 868-7427","(502) 867-1847","90","8","8","5","Yes","McDonald's","No",
48,"Pilot Travel Center","58 Glendale-Hodgenville Road","Glendale ","KY","US","42740","I-65  Exit 86","37.59601900","-85.86491900","(270) 369-7360","(270) 369-6991","125","11","11","8","Yes","McDonald's, Wingfoot Truck Care","No",
49,"Pilot Travel Center","8190 Pembroke-Oak Grove Road","Oak Grove","KY","US","42262","I-24  Exit 89","36.67825800","-87.40438400","(270) 439-1776","(270) 439-7624","175","11","11","8","Yes","McDonald's, Wingfoot Truck Care","No",
50,"Pilot Travel Center","489 Pendleton Road","Sulphur","KY","US","40070","I-71  Exit 28","38.45718500","-85.29968000","(502) 743-5496","(502) 743-5228","175","11","11","8","Yes","McDonald's","No",
51,"Pilot Travel Center","11190 Baileyton Road","Greeneville ","TN","US","37745","I-81  Exit 36","36.32063800","-82.83182300","(423) 234-0414","(423) 234-0641","11","5","5","3","Yes","Subway","No",
52,"Pilot Travel Center","535 Waldron Road","Lavergne","TN","US","37086","I-24  Exit 64","35.99784100","-86.59483400","(615) 793-9856","(615) 793-9085","25","8","8","4","Yes","Subway","No",
53,"Pilot Travel Center","15559 Highway 13 South","Hurricane Mills","TN","US","37078","I-40  Exit 143","35.88235700","-87.80188900","(931) 296-7180","(931) 296-7719","180","11","11","8","Yes","Arby's, Cinnabon, Pilot Truck Care Center","No",
56,"Pilot Travel Center","2825 Lane Street","Kannapolis ","NC","US","28083","I-85  Exit 63","35.49846000","-80.56096800","(704) 938-6800","(704) 938-6900","55","7","7","3","Yes","Subway","No",
57,"Pilot Travel Center","1342 Trollingwood Hawfields Road","Mebane","NC","US","27302","I-40/85  Exit 152","36.06606600","-79.30919600","(919) 563-4999","(919) 563-4929","140","12","10","8","Yes","Cinnabon, McDonald's, Wingfoot Truck Care","No",
58,"Pilot Travel Center","2032 Highway 48","Pleasant Hill","NC","US","27866","I-95  Exit 180","36.52329900","-77.58728100","(252) 537-4476","(252) 537-3666","42","8","6","4","Yes","Subway","Yes",
60,"Pilot Travel Center","2064 Homestead Road","Bowman ","SC","US","29018","I-26  Exit 159","33.41735200","-80.66622400","(803) 829-3541","(803) 829-3352","100","11","11","8","Yes","McDonald's, Wingfoot Truck Care","No",
61,"Pilot Travel Center","12818 Highway 56 North","Clinton","SC","US","29325","I-26  Exit 52","34.50912700","-81.85803100","(864) 833-4555","(864) 833-3765","25","8","6","3","Yes","Subway","No",
62,"Pilot Travel Center","3006 North Williston Road","Florence ","SC","US","29506","I-95  Exit 170","34.26707200","-79.70195600","(843) 662-6972","(843) 662-7013","75","8","8","6","Yes","Wendy's","No",
63,"Pilot Travel Center","110 Frontage Road","Piedmont","SC","US","29673","I-85  Exit 35","34.71054100","-82.49732200","(864) 845-8177","(864) 845-8178","90","9","9","5","Yes","Wingfoot Truck Care, Cinnabon, McDonald's","No",
64,"Mr. Fuel","1521 North Main Street","Summerville","SC","US","29483","I-26  Exit 199","33.03876000","-80.14223500","(843) 486-5770","(843) 486-5702","10","5","5","3","Yes","McDonald's","No",
65,"Pilot Travel Center","4091 Jimmie Dyess Parkway","Augusta ","GA","US","30909","I-20  Exit 194","33.47998100","-82.13115500","(706) 860-6677","(706) 869-9074","30","5","","3","Yes","Subway","No",
66,"Pilot Travel Center","5888 Highway 53","Braselton ","GA","US","30517","I-85  Exit 129","34.11972300","-83.76165400","(706) 654-2820","(706) 654-9326","85","7","7","6","Yes","McDonald's","No",
67,"Pilot Travel Center","968 Cassville-White Road","Cartersville ","GA","US","30120","I-75  Exit 296","34.27204000","-84.80765300","(770) 607-7835","(770) 607-7873","78","11","10","8","Yes","Subway, Urgent Care Travel, Roadside Assistance, McDonald's","No",
68,"Pilot Travel Center","2185 US 441","Dublin","GA","US","31021","I-16  Exit 51","32.49047700","-82.93436400","(478) 275-2143","(478) 275-1632","20","4","4","3","Yes","Deli","No",
71,"Pilot Travel Center","7001 Highway 21","Port Wentworth","GA","US","31407","I-95  Exit 109","32.18825900","-81.19554900","(912) 964-7006","(912) 964-7808","125","8","8","8","Yes","Subway, McDonald's, Wingfoot Truck Care","No",
72,"Mr. Fuel","1504 Dean Forrest Road","Savannah","GA","US","31408","I-16  Exit 160","32.07230200","-81.19959700","(912) 964-5280","(912) 964-5098","","5","5","1","Yes","Subway","No",
75,"Pilot Travel Center","6109 US 43 South","Satsuma","AL","US","36572","I-65  Exit 19","30.87286100","-88.04686900","(251) 679-6260","(251) 679-6235","125","10","10","8","Yes","Arby's, Roadside Assistance","No",
76,"Pilot Travel Center","4416 Skyland Boulevard East","Tuscaloosa","AL","US","35405","I-20/59  Exit 76","33.17290300","-87.47851700","(205) 553-9710","(205) 553-3089","125","9","8","8","Yes","Subway, Breakfast/Soup Bar","No",
77,"Pilot Travel Center","2520 South Gallatin Street","Jackson","MS","US","39204","I-55/20  Exit 45","32.27269400","-90.19304200","(601) 968-9491","(601) 968-0699","120","10","10","5","Yes","McDonald's, Wingfoot Truck Care","No",
79,"Pilot Travel Center","2601 South Range Avenue","Denham Springs ","LA","US","70726","I-12  Exit 10","30.45195700","-90.95743100","(225) 665-4151","(225) 665-4122","60","5","5","3","Yes","Subway","No",
4555,"Pilot Travel Center","3201 Buttermilk Road","Cottondale","AL","US","35453","I-20/I-59 Exit 77","33.17892700","-87.44621500","(205) 633-2155","(205) 633-2158","68","7","7","7","Yes","Wendy's","No",
81,"Pilot Travel Center","2010 New Castle Road","Portersville (New Castle Area)","PA","US","16051","I-79  Exit 99","40.96429700","-80.14080000","(724) 368-3028","(724) 368-3059","50","8","8","7","Yes","Subway, McDonald's, Cinnabon","No",
4556,"Pilot Travel Center","744 E State Road 44","Wildwood","FL","US","34785","I-75 Exit 329","28.87424100","-82.09005600","(352) 748-4354","(352) 748-0156","75","8","8","7","Yes","","No",
82,"Pilot Travel Center","4301 South Main Street","Laplace ","LA","US","70068","I-10/55  Exit 209","30.08547200","-90.44463200","(985) 652-0531","(985) 652-4141","150","10","10","8","Yes","Subway","No",
4557,"Pilot Travel Center","11156 Highway 106","Carnesville","GA","US","30521","I-85 Exit 166","34.38981600","-83.22675100","(706) 384-3084","(706) 384-3202","72","8","8","8","Yes","Dairy Queen","No",
4558,"Pilot Travel Center","2111 US Highway 41 NE","Calhoun","GA","US","30701","I-75  Exit 318","34.55886800","-84.93593900","(706) 625-4368","(706) 629-1440","84","10","10","7","Yes","Wendy's, Dairy Queen","No",
4559,"Pilot Travel Center","95 Liberty Road","Villa Rica","GA","US","30180","I-20 Exit 26","33.72168800","-84.90362300","(770) 456-9941","(770) 456-9942","78","8","8","6","Yes","Subway","No",
4560,"Pilot Travel Center","2995 Highway 36 W","Jackson","GA","US","30233","I-75 Exit 201","33.21056700","-84.05597300","(770) 504-9206","","160","8","8","14","Yes","Wendy's, Dairy Queen","Yes",
4561,"Pilot Travel Center","3460 Madison Hwy","Valdosta","GA","US","31601","I-75 Exit 11","30.75481600","-83.27285100","(229) 293-0505","(229) 293-0350","84","8","8","7","Yes","","No",
87,"Pilot Travel Center","1050 US 301 South","Baldwin ","FL","US","32234","I-10  Exit 343","30.28397900","-81.98421300","(904) 266-4238","(904) 266-9820","50","6","6","5","Yes","Subway","No",
4562,"Pilot Travel Center","2607 Scrubby Bluff Road","Kingsland","GA","US","31548","I-95 Exit 1","30.76022400","-81.65567500","(912) 576-7858","","111","8","8","8","Yes","","No",
88,"Pilot Travel Center","4455 King Street","Cocoa","FL","US","32926","I-95  Exit 201","28.35960300","-80.79276400","(321) 639-0346","(321) 639-0351","8","5","5","2","No","Subway","No",
4563,"Flying J","7833 Linglestown Road","Harrisburg","PA","US","17112","I-81 Exit 77","40.35268000","-76.72667700","(717) 545-5517","(717) 901-6191","125","8","8","10","Yes","Perkins","No",
89,"Pilot Travel Center","1526 51St Avenue East","Ellenton","FL","US","34222","I-75  Exit 224","27.52843400","-82.51200800","(941) 729-6288","(941) 729-1019","","4","4","2","No","Deli","No",
90,"Pilot Travel Center","7300 West Okeechobee Road","Fort Pierce","FL","US","34945","I-95  Exit 129","27.41389200","-80.40014600","(772) 460-0611","(772) 460-9492","100","12","11","8","Yes","Cinnabon, McDonald's","No",
91,"Pilot Travel Center","1625 County Road 210 West","Jacksonville ","FL","US","32259","I-95  Exit 329","30.06556400","-81.49390900","(904) 826-3618","(904) 825-2760","30","10","10","5","Yes","McDonald's","No",
4566,"Pilot Travel Center","2768 East Cherokee Street","Blacksburg","SC","US","29702","I-85 Exit 106","35.16568700","-81.45088500","(864) 936-9984","(864) 936-9379","110","10","10","7","Yes","Wendy's, Dairy Queen","No",
92,"Pilot Travel Center","4255 Nw Highway 326","Ocala","FL","US","34482","I-75  Exit 358","29.26832700","-82.19158300","(352) 402-9081","(352) 622-5233","130","10","10","7","Yes","Wendy's, Roadside Assistance","No",
4567,"Pilot Travel Center","1155 South Anderson Road","Rock Hill","SC","US","29730","I-77 Exit 77","34.91341300","-80.98030700","(803) 329-0078","","30","8","8","4","Yes","","No",
4568,"Pilot Travel Center","574 Bettis Academy Road","Graniteville","SC","US","29829","I-20 Exit 11","33.60418300","-81.84089500","(803) 663-6674","(803) 663-6796","56","8","3","6","Yes","Subway","No",
94,"Pilot Travel Center","26505 Jones Loop Road","Punta Gorda ","FL","US","33950","I-75  Exit 161","26.89473900","-82.00927500","(941) 637-3974","(941) 637-5729","39","8","8","5","Yes","Arby's","No",
4569,"Pilot Travel Center","15976 Whyte Hardee Blvd","Hardeeville","SC","US","29927","I-95 Exit 5","32.26936400","-81.08030300","(843) 784-3350","","90","8","4","6","Yes","Subway, Dairy Queen","No",
95,"Pilot Travel Center","493 East State Route 44","Wildwood","FL","US","34785","I-75  Exit 329","28.87364500","-82.09520700","(352) 748-4486","(352) 748-6095","10","7","7","3","Yes","Deli","No",
96,"Pilot Travel Center","3051 State Road 60","Okeechobee","FL","US","34972","FL Turnpike  Exit 193","27.69906900","-80.90150200","(407) 436-1224","(407) 436-1919","42","6","6","3","Yes","Subway","Yes",
97,"Flying J","175 Northwoods Blvd.","Vandalia","OH","US","45377","I-75  Exit 64","39.90249400","-84.19259900","(937) 264-8520","(937) 264-8525","110","8","8","9","Yes","Subway, Cinnabon, Roadside Assistance","No",
4576,"Pilot Travel Center","9587 Charleston Hwy","St. George","SC","US","29477","I-95 Exit 82","33.26924500","-80.56729600","(843) 563-6306","(843) 563-6307","114","9","8","6","Yes","Wendy's, Dairy Queen","Yes",
102,"Pilot Thomas Cardlock","151 Industrial Drive","Rock Springs","WY","US","82901","I-80  Exit 104","41.61808900","-109.23450700","","","","6","","","No","","No",
4578,"Pilot Travel Center","10959 State Highway 200","Winnsboro","SC","US","29180","I-77 Exit 48","34.50823300","-81.00122200","(803) 482-6844","(803) 482-6353","100","7","3","8","Yes","Wendy's, Dairy Queen","Yes",
4579,"Pilot Travel Center","1300 Burke Road","St. Matthews","SC","US","29135","I-26 Exit 139","33.63276500","-80.87831100","(803) 874-4340","(803) 874-1695","25","8","4","3","Yes","Arby's","No",
4580,"Pilot Travel Center","2221 SC Highway 773","Prosperity","SC","US","29127","I-26 Exit 82","34.24039100","-81.45958200","(803) 321-2392","(803) 321-2549","58","6","6","6","Yes","Wendy's","No",
106,"Pilot Food Mart","5216 Middlebrook Pike","Knoxville","TN","US","37921","I-40  Exit 386B","35.95788700","-84.00187300","(865) 584-0998","(865) 212-9987","","3","3","","No","","No",
4581,"Pilot Travel Center","1340 Sumter Hwy","Bishopville","SC","US","29010","I-20 Exit 116","34.19280200","-80.28234400","(803) 428-2248","(803) 428-2004","50","8","7","8","Yes","Wendy's, Dairy Queen","Yes",
108,"Pilot Thomas Cardlock","1521 South 1500 East","Vernal","UT","US","84078","Hwy. 40","40.43341300","-109.49912300","","","","10","1","","No","","No",
109,"Pilot Thomas Cardlock","350 North Vernal Avenue","Vernal","UT","US","84078","Hwy. 191","40.43370300","-109.49953100","","","","4","","","No","","No",
4584,"Pilot Travel Center","1504 Highway 38 W","Latta","SC","US","29565","I-95 Exit 181","34.34482500","-79.53459500","(843) 752-9169","(843) 752-9157","112","11","11","7","Yes","Wendy's, Dairy Queen","No",
114,"Pilot Travel Center","2449 Genesis Road","Crossville","TN","US","38571","I-40  Exit 320","35.98624200","-85.01232900","(931) 787-1901","(931) 787-1905","85","7","8","7","Yes","Wendy's, Cinnabon","No",
118,"Pilot Travel Center","7801 Alcoa Road","Benton","AR","US","72019","I-30  Exit 121","34.60834800","-92.53295900","(501) 794-5900","(501) 794-5904","68","8","8","7","Yes","Subway, Wingfoot Truck Care","No",
4596,"Pilot Travel Center","3663 Roy Messer Highway","White Pine","TN","US","37890","I-81 Exit 4","36.10852200","-83.33895900","(865) 674-2900","(865) 674-2066","106","8","8","14","Yes","Wendy's","No",
4597,"Pilot Travel Center","502 Gordonsville Highway","Gordonsville","TN","US","38563","I-40 Exit 258","36.17729400","-85.94928100","(615) 683-3410","(615) 683-3415","66","7","7","7","Yes","Wendy's","No",
4598,"Pilot Travel Center","507 Highway 309","Niota","TN","US","37826","I-75 Exit 56","35.54491400","-84.56505300","(423) 568-3500","","91","9","8","7","Yes","Wendy's, Pilot Truck Care Center","No",
4599,"Pilot Travel Center","640 Dixie Lee Avenue","Monteagle","TN","US","37356","I-24 Exit 135","35.23300600","-85.82449800","(931) 924-5111","","92","8","8","7","Yes","Wendy's","No",
130,"Pilot Travel Center","5219 Brecksville Road","Richfield","OH","US","44286","I-77  Exit 146 / I-80  Exit 173","41.27611300","-81.62594500","(330) 659-2020","(330) 659-2021","40","8","7","7","Yes","Wendy's","No",
131,"Pilot Travel Center","2010 West Clay Street","Osceola","IA","US","50213","I-35  Exit 34","41.04058700","-93.79477100","(641) 342-8658","(641) 342-1782","80","8","8","5","Yes","Subway, Breakfast/Soup Bar","No",
132,"Pilot Food Mart","1452 Lawnville Road","Kingston","TN","US","37763","I-40  Exit 355","35.87420300","-84.45930700","(865) 376-4629","(865) 376-0614","","2","2","","No","","No",
133,"Pilot Travel Center","109450 US-97","Chemult","OR","US","97731","Hwy 97 & 2nd St","43.21540000","-121.78453600","(541) 365-0991","(541) 365-0995","37","6","6","4","Yes","Subway","No",
134,"Pilot Travel Center","4231 Clearwater Road","St. Cloud","MN","US","56301","I-94  Exit 171 (CR 75)","45.49604500","-94.14903200","(320) 251-8455","(320) 251-7750","44","6","3","4","Yes","Breakfast/Soup Bar","No",
137,"Pilot Travel Center","395 E. Vista Drive","Weed","CA","US","96094","I-5  Exit 745","41.39916000","-122.37614900","(530) 938-9600","(530) 938-9700","80","8","8","7","Yes","Subway, Breakfast/Soup Bar","Yes",
140,"Pilot Fuel Center","380 South 200 East","Roosevelt","UT","US","84066","Hwy 191/40","40.29397700","-109.98976100","(435) 722-4468","(435) 722-2461","","2","","","No","","No",
141,"Pilot Travel Center","289 Bear River Drive","Evanston","WY","US","82930","I-80  Exit 6","41.26912200","-110.94139000","(307) 783-5930","(307) 783-5916","75","7","7","7","Yes","Subway, Pilot Truck Care Center, Breakfast/Soup Bar, Cinnabon","No",
144,"Pilot Travel Center","2975 Gun Club Road","Augusta ","GA","US","30907","I-20  Exit 200","33.52416300","-82.03339100","(706) 667-6557","(706) 481-9940","90","8","8","6","Yes","Wendy's","No",
4619,"Pilot Travel Center","1318 East Lee Highway","Wytheville","VA","US","24382","I-81/I-77  Exit 77","36.93863100","-80.99214000","(276) 228-2421","(276) 228-2463","150","8","8","11","Yes","Arby's, Dairy Queen","No",
145,"Pilot Travel Center","5660 West Sunset Avenue","Springdale","AR","US","72762","I-49  Exit 72","36.17649700","-94.19317000","(479) 872-6100","(479) 872-6103","30","5","5","4","Yes","Burger King","No",
146,"Pilot Travel Center","995 US Route 9","Castleton - On - Hudson (Schodack Landing Area)","NY","US","12033","I-90  Exit 12","42.49761300","-73.67469300","(518) 732-7272","(518) 732-7228","65","5","7","4","Yes","Subway","No",
147,"Pilot Travel Center","1200 Wendover Boulevard","West Wendover","NV","US","89883","I-80 Peppermill Casino","40.74011600","-114.06659800","(775) 664-3400","(775) 664-3347","129","9","7","11","Yes","Arby's, Pilot Casinos","No",
4622,"Pilot Travel Center","2190 Philpott Highway 58","South Boston","VA","US","24592","Philpott Hwy 58","36.67529500","-78.92774500","(434) 572-2340","(434) 572-2586","55","5","5","3","Yes","","Yes",
149,"Pilot Travel Center","7720 Highway 222","Stanton","TN","US","38069","I-40  Exit 42","35.39009100","-89.41045000","(901) 466-3535","(901) 465-7822","54","7","7","5","Yes","Subway, Chester's Chicken","No",
150,"Pilot Travel Center","11633 Greencastle Pike","Hagerstown","MD","US","21740","I-70 &  US 63","39.63404300","-77.80678500","(301) 582-9004","(301) 582-9008","90","7","7","7","Yes","Subway, Cinnabon","No",
151,"Pilot Travel Center","2430 93Rd Avenue Sw","Tumwater","WA","US","98512","I-5  Exit 99 NE","46.95422400","-122.93525200","(360) 754-0151","(360) 754-0159","87","8","8","7","Yes","Subway, Cinnabon, McDonald's, Roadside Assistance","No",
152,"Pilot Travel Center","14013 Memphis Blue Lick Road","Memphis","IN","US","47143","I-65  Exit 16","38.49204300","-85.77348100","(812) 294-4233","(812) 294-4237","70","7","7","11","Yes","Arby's","No",
154,"Pilot Travel Center","14808 Warren Street","Lost Hills","CA","US","93249","I-5  Exit 278 & SR 46","35.61513100","-119.65878200","(661) 797-2122","(661) 797-9772","60","7","7","7","Yes","Wendy's, Cinnabon, Roadside Assistance","Yes",
156,"Pilot Travel Center","95 Free Henry Ford Road","Madisonville","KY","US","42431","Hwy 813  Exit 37","37.25531700","-87.44882900","(270) 258-5213","(270) 258-5387","85","8","8","6","Yes","Subway","Yes",
157,"Pilot Travel Center","1200 South Hillcrest","Sulphur Springs ","TX","US","75482","I-30  Exit 122","33.11647200","-95.63387300","(903) 885-0020","(903) 885-1580","85","7","7","7","Yes","Arby's, Cinnabon","No",
159,"Pilot Travel Center","6721 Emmaus Church Road","Providence Forge (Tallysville Area)","VA","US","23140","I-64  Exit 211","37.49980200","-77.08918700","(804) 966-1880","(804) 966-9231","30","7","7","5","Yes","Subway","No",
163,"Pilot Travel Center","1124 East Motel Drive","Lordsburg","NM","US","88045","I-10  Exit 24","32.34208100","-108.68148600","(575) 542-3100","(575) 542-3111","95","8","8","7","Yes","Arby's","No",
164,"Pilot Travel Center","1101 Gateway Avenue","Mauston","WI","US","53948","I-90/94  Exit 69","43.79753600","-90.05090000","(608) 847-3321","(608) 847-3316","95","7","7","7","Yes","Wendy's, Roadside Assistance","No",
165,"Pilot Travel Center","2500 North 3rd Street","Effingham","IL","US","62401","I-57/70  Exit 162","39.14918600","-88.53059900","(217) 342-3787","(217) 342-6672","100","8","8","7","Yes","McDonald's, Wingfoot Truck Care","No",
167,"Pilot Travel Center","2424 East Austin Road","Nevada","MO","US","64772","I-49  Exit 101","37.83526500","-94.32478500","(417) 667-3271","(417) 667-4843","70","6","9","3","Yes","Breakfast/Soup Bar","No",
4642,"Pilot Travel Center","1014 Mt. Olive Road","Tom's Brook","VA","US","22660","I-81  Exit 291","38.96694000","-78.43792800","(540) 436-3121","(540) 436-3966","159","10","10","8","Yes","Subway, Dairy Queen, Roadside Assistance","No",
168,"Pilot Travel Center","30035 County Road 8","Dunnigan","CA","US","95937","I-5  Exit 554 & Road 8","38.86200300","-121.95027700","(530) 724-3060","(530) 724-3029","143","9","9","10","Yes","Wendy's, Breakfast/Soup Bar, Cinnabon","Yes",
171,"Pilot Travel Center","503 N. Oakwood Street","Oakwood","IL","US","61858","I-74  Exit 206","40.12375000","-87.77949900","(217) 354-4270","(217) 354-4047","99","7","7","7","Yes","Cinnabon, Roadside Assistance","No",
174,"Pilot Travel Center","500 State Highway 15 South","New Albany","MS","US","38652","US 78  Exit 64","34.46780200","-89.00608500","(662) 539-0222","(662) 539-0212","90","7","7","7","Yes","Arby's","No",
4649,"Pilot Travel Center","713 Oakland Circle","Raphine","VA","US","24472","I-81/I-64  Exit 205","37.93248500","-79.23143000","(540) 377-9239","(540) 377-6304","157","13","13","8","Yes","Wendy's, Roadside Assistance, Pilot Truck Care Center","Yes",
4651,"Pilot Travel Center","781 Moores Ferry Road","Skippers","VA","US","23879","I-95  Exit 4","36.60700600","-77.56102000","(434) 336-9100","(434) 336-9400","85","7","7","6","Yes","Subway","Yes",
179,"Pilot Travel Center","16921 Halfway Blvd","Hagerstown","MD","US","21740","I-81  Exit 5B","39.62907100","-77.78387500","(301) 582-6111","(301) 582-5004","90","9","9","9","Yes","Subway, McDonald's, Pilot Truck Care Center, Roadside Assistance","No",
